Strategy: SHORTEST_QUEUE
Task taken: ID-64 A-19 S-9
Task sleeping: ID-971 A-19 S-7

Time: 74
Chosen queue 6
Client ID-42 A-42 S-9 was put in queue number 6
Chosen queue 9
Client ID-189 A-42 S-7 was put in queue number 9
Chosen queue 10
Client ID-266 A-42 S-7 was put in queue number 10
Chosen queue 11
Client ID-335 A-42 S-4 was put in queue number 11
Chosen queue 12
Client ID-578 A-42 S-6 was put in queue number 12
Chosen queue 13
Client ID-732 A-42 S-5 was put in queue number 13
Chosen queue 14
Client ID-740 A-42 S-9 was put in queue number 14
Chosen queue 15
Client ID-761 A-42 S-5 was put in queue number 15
Task taken: ID-423 A-20 S-5
Task sleeping: ID-758 A-22 S-3

Time: 75
Chosen queue 7
Client ID-52 A-43 S-3 was put in queue number 7
Chosen queue 16
Client ID-172 A-43 S-3 was put in queue number 16
Chosen queue 17
Client ID-255 A-43 S-7 was put in queue number 17
Chosen queue 18
Client ID-289 A-43 S-3 was put in queue number 18
Chosen queue 19
Client ID-539 A-43 S-7 was put in queue number 19
Chosen queue 0
Client ID-569 A-43 S-5 was put in queue number 0
Chosen queue 1
Client ID-684 A-43 S-6 was put in queue number 1
Chosen queue 2
Client ID-694 A-43 S-5 was put in queue number 2
Chosen queue 3
Client ID-752 A-43 S-7 was put in queue number 3
Chosen queue 4
Client ID-787 A-43 S-7 was put in queue number 4
Chosen queue 5
Client ID-797 A-43 S-5 was put in queue number 5
Chosen queue 6
Client ID-879 A-43 S-4 was put in queue number 6
Task taken: ID-229 A-21 S-5
Task sleeping: ID-917 A-23 S-8
Task taken: ID-388 A-21 S-4
Task sleeping: ID-587 A-24 S-10
Task taken: ID-719 A-19 S-11
Task sleeping: ID-908 A-21 S-4
Task taken: ID-85 A-21 S-8
Task sleeping: ID-872 A-23 S-8
Task taken: ID-944 A-19 S-11
Task sleeping: ID-2 A-21 S-7

Time: 76
Chosen queue 12
Client ID-44 A-44 S-5 was put in queue number 12
Chosen queue 13
Client ID-84 A-44 S-9 was put in queue number 13
Chosen queue 16
Client ID-111 A-44 S-8 was put in queue number 16
Chosen queue 0
Client ID-395 A-44 S-9 was put in queue number 0
Chosen queue 5
Client ID-850 A-44 S-8 was put in queue number 5
Chosen queue 7
Client ID-986 A-44 S-8 was put in queue number 7
Task taken: ID-885 A-19 S-11
Task sleeping: ID-598 A-22 S-8
Task taken: ID-20 A-18 S-11
Task sleeping: ID-745 A-19 S-3

Time: 77
Chosen queue 2
Client ID-108 A-45 S-8 was put in queue number 2
Chosen queue 4
Client ID-205 A-45 S-9 was put in queue number 4
Chosen queue 8
Client ID-393 A-45 S-8 was put in queue number 8
Chosen queue 9
Client ID-594 A-45 S-9 was put in queue number 9
Chosen queue 10
Client ID-632 A-45 S-4 was put in queue number 10
Chosen queue 11
Client ID-775 A-45 S-10 was put in queue number 11
Task taken: ID-28 A-23 S-11
Task sleeping: ID-663 A-24 S-5
Task taken: ID-758 A-22 S-3
Task sleeping: ID-357 A-24 S-3
Task taken: ID-26 A-22 S-6
Task sleeping: ID-978 A-22 S-10

Time: 78
Chosen queue 18
Client ID-91 A-46 S-6 was put in queue number 18
Chosen queue 7
Client ID-150 A-46 S-10 was put in queue number 7
Chosen queue 10
Client ID-405 A-46 S-7 was put in queue number 10
Chosen queue 12
Client ID-603 A-46 S-9 was put in queue number 12
Chosen queue 13
Client ID-637 A-46 S-6 was put in queue number 13
Chosen queue 14
Client ID-721 A-46 S-4 was put in queue number 14
Chosen queue 15
Client ID-765 A-46 S-7 was put in queue number 15
Chosen queue 16
Client ID-847 A-46 S-11 was put in queue number 16
Chosen queue 17
Client ID-864 A-46 S-3 was put in queue number 17
Chosen queue 18
Client ID-949 A-46 S-9 was put in queue number 18
Task taken: ID-251 A-21 S-9
Task sleeping: ID-947 A-23 S-3
Task taken: ID-800 A-23 S-6
Task sleeping: ID-435 A-25 S-6
Task taken: ID-356 A-20 S-10
Task sleeping: ID-974 A-21 S-11

Time: 79
Chosen queue 1
Client ID-46 A-47 S-6 was put in queue number 1
Chosen queue 11
Client ID-180 A-47 S-9 was put in queue number 11
Task taken: ID-573 A-20 S-7
Chosen queue 14
Task sleeping: ID-837 A-22 S-3
Client ID-237 A-47 S-9 was put in queue number 14
Chosen queue 9
Client ID-243 A-47 S-10 was put in queue number 9
Chosen queue 19
Client ID-302 A-47 S-11 was put in queue number 19
Chosen queue 0
Task taken: ID-908 A-21 S-4
Task sleeping: ID-15 A-24 S-10
Client ID-350 A-47 S-11 was put in queue number 0
Chosen queue 0
Client ID-487 A-47 S-6 was put in queue number 0
Chosen queue 1
Client ID-536 A-47 S-9 was put in queue number 1
Chosen queue 2
Client ID-877 A-47 S-8 was put in queue number 2
Chosen queue 3
Client ID-893 A-47 S-6 was put in queue number 3
Chosen queue 4
Client ID-924 A-47 S-3 was put in queue number 4
Chosen queue 5
Client ID-933 A-47 S-11 was put in queue number 5
Task taken: ID-821 A-19 S-11
Task sleeping: ID-596 A-22 S-11
Task taken: ID-745 A-19 S-3
Task sleeping: ID-572 A-22 S-9
Task taken: ID-185 A-23 S-9
Task sleeping: ID-476 A-26 S-6
Task taken: ID-380 A-22 S-11
Task taken: ID-656 A-24 S-10
Task sleeping: ID-760 A-24 S-6
Task sleeping: ID-242 A-26 S-6

Time: 80
Chosen queue 8
Client ID-37 A-48 S-3 was put in queue number 8
Chosen queue 17
Client ID-104 A-48 S-10 was put in queue number 17
Chosen queue 19
Client ID-455 A-48 S-7 was put in queue number 19
Chosen queue 2
Client ID-489 A-48 S-5 was put in queue number 2
Chosen queue 3
Client ID-629 A-48 S-9 was put in queue number 3
Chosen queue 6
Client ID-716 A-48 S-6 was put in queue number 6
Chosen queue 7
Client ID-938 A-48 S-5 was put in queue number 7
Chosen queue 8
Client ID-951 A-48 S-9 was put in queue number 8
Task taken: ID-971 A-19 S-7
Task sleeping: ID-708 A-22 S-8
Task taken: ID-357 A-24 S-3
Task sleeping: ID-469 A-26 S-8
Task taken: ID-947 A-23 S-3
Task sleeping: ID-131 A-26 S-3

Time: 82
Chosen queue 14
Client ID-113 A-49 S-5 was put in queue number 14
Chosen queue 6
Client ID-154 A-49 S-7 was put in queue number 6
Chosen queue 7
Client ID-307 A-49 S-6 was put in queue number 7
Chosen queue 9
Client ID-323 A-49 S-4 was put in queue number 9
Chosen queue 10
Client ID-540 A-49 S-3 was put in queue number 10
Chosen queue 11
Client ID-555 A-49 S-3 was put in queue number 11
Chosen queue 12
Client ID-574 A-49 S-8 was put in queue number 12
Chosen queue 13
Client ID-744 A-49 S-11 was put in queue number 13
Chosen queue 14
Client ID-770 A-49 S-11 was put in queue number 14
Chosen queue 15
Client ID-825 A-49 S-7 was put in queue number 15
Chosen queue 16
Client ID-836 A-49 S-6 was put in queue number 16
Task taken: ID-383 A-21 S-10
Task sleeping: ID-528 A-24 S-5
Task taken: ID-837 A-22 S-3
Task sleeping: ID-526 A-24 S-10
Task taken: ID-663 A-24 S-5
Task sleeping: ID-55 A-27 S-11

Time: 83
Chosen queue 18
Client ID-146 A-50 S-4 was put in queue number 18
Chosen queue 9
Client ID-169 A-50 S-8 was put in queue number 9
Chosen queue 15
Client ID-236 A-50 S-11 was put in queue number 15
Chosen queue 17
Client ID-245 A-50 S-6 was put in queue number 17
Chosen queue 18
Client ID-246 A-50 S-9 was put in queue number 18
Chosen queue 19
Client ID-329 A-50 S-11 was put in queue number 19
Chosen queue 0
Client ID-508 A-50 S-6 was put in queue number 0
Chosen queue 1
Client ID-606 A-50 S-5 was put in queue number 1
Chosen queue 2
Client ID-755 A-50 S-8 was put in queue number 2
Task taken: ID-2 A-21 S-7
Task sleeping: ID-707 A-22 S-11
Task taken: ID-917 A-23 S-8
Task sleeping: ID-699 A-26 S-11

Time: 84
Chosen queue 5
Client ID-23 A-51 S-7 was put in queue number 5
Chosen queue 13
Client ID-35 A-51 S-3 was put in queue number 13
Chosen queue 3
Client ID-50 A-51 S-9 was put in queue number 3
Chosen queue 4
Client ID-112 A-51 S-8 was put in queue number 4
Chosen queue 5
Client ID-130 A-51 S-4 was put in queue number 5
Chosen queue 6
Client ID-152 A-51 S-5 was put in queue number 6
Chosen queue 7
Client ID-270 A-51 S-6 was put in queue number 7
Chosen queue 8
Client ID-341 A-51 S-9 was put in queue number 8
Chosen queue 9
Client ID-390 A-51 S-8 was put in queue number 9
Chosen queue 10
Client ID-445 A-51 S-4 was put in queue number 10
Chosen queue 11
Client ID-650 A-51 S-11 was put in queue number 11
Chosen queue 12
Client ID-692 A-51 S-10 was put in queue number 12
Chosen queue 13
Client ID-982 A-51 S-10 was put in queue number 13
Task taken: ID-872 A-23 S-8
Task sleeping: ID-688 A-26 S-11
Task taken: ID-131 A-26 S-3
Task sleeping: ID-703 A-26 S-7
Task taken: ID-435 A-25 S-6
Task sleeping: ID-687 A-26 S-6
Task taken: ID-598 A-22 S-8
Task sleeping: ID-419 A-25 S-11

Time: 85
Chosen queue 14
Client ID-38 A-52 S-7 was put in queue number 14
Chosen queue 4
Client ID-103 A-52 S-10 was put in queue number 4
Chosen queue 11
Client ID-215 A-52 S-5 was put in queue number 11
Chosen queue 12
Client ID-278 A-52 S-6 was put in queue number 12
Chosen queue 14
Client ID-351 A-52 S-3 was put in queue number 14
Chosen queue 15
Client ID-367 A-52 S-10 was put in queue number 15
Chosen queue 16
Client ID-458 A-52 S-4 was put in queue number 16
Chosen queue 17
Client ID-502 A-52 S-4 was put in queue number 17
Chosen queue 18
Client ID-702 A-52 S-5 was put in queue number 18
Chosen queue 19
Client ID-746 A-52 S-6 was put in queue number 19
Chosen queue 0
Client ID-749 A-52 S-10 was put in queue number 0
Chosen queue 1
Client ID-763 A-52 S-7 was put in queue number 1
Chosen queue 2
Client ID-881 A-52 S-10 was put in queue number 2
Chosen queue 3
Client ID-984 A-52 S-11 was put in queue number 3
Task taken: ID-587 A-24 S-10
Task sleeping: ID-778 A-24 S-6

Time: 86
Chosen queue 16
Client ID-70 A-53 S-4 was put in queue number 16
Chosen queue 4
Client ID-259 A-53 S-4 was put in queue number 4
Chosen queue 5
Client ID-361 A-53 S-7 was put in queue number 5
Chosen queue 6
Client ID-482 A-53 S-9 was put in queue number 6
Chosen queue 7
Client ID-488 A-53 S-5 was put in queue number 7
Chosen queue 8
Client ID-504 A-53 S-4 was put in queue number 8
Chosen queue 9
Client ID-735 A-53 S-11 was put in queue number 9
Chosen queue 10
Client ID-935 A-53 S-7 was put in queue number 10
Chosen queue 11
Client ID-985 A-53 S-9 was put in queue number 11
Task taken: ID-476 A-26 S-6
Task sleeping: ID-59 A-27 S-5
Task taken: ID-760 A-24 S-6
Task taken: ID-242 A-26 S-6
Task sleeping: ID-497 A-25 S-7
Task sleeping: ID-244 A-27 S-10

Time: 87
Chosen queue 17
Client ID-3 A-54 S-4 was put in queue number 17
Chosen queue 19
Client ID-11 A-54 S-6 was put in queue number 19
Chosen queue 8
Client ID-71 A-54 S-7 was put in queue number 8
Chosen queue 12
Client ID-82 A-54 S-10 was put in queue number 12
Chosen queue 13
Client ID-143 A-54 S-4 was put in queue number 13
Chosen queue 14
Client ID-162 A-54 S-8 was put in queue number 14
Chosen queue 15
Client ID-248 A-54 S-9 was put in queue number 15
Chosen queue 16
Client ID-518 A-54 S-4 was put in queue number 16
Chosen queue 17
Client ID-543 A-54 S-9 was put in queue number 17
Chosen queue 18
Client ID-715 A-54 S-10 was put in queue number 18
Chosen queue 19
Client ID-860 A-54 S-11 was put in queue number 19
Chosen queue 0
Client ID-903 A-54 S-4 was put in queue number 0
Chosen queue 1
Client ID-919 A-54 S-3 was put in queue number 1
Chosen queue 2
Client ID-961 A-54 S-6 was put in queue number 2
Task taken: ID-528 A-24 S-5
Task sleeping: ID-142 A-27 S-3
Task taken: ID-978 A-22 S-10
Task sleeping: ID-648 A-26 S-4

Time: 88
Chosen queue 10
Client ID-265 A-55 S-6 was put in queue number 10
Chosen queue 15
Client ID-456 A-55 S-4 was put in queue number 15
Chosen queue 3
Client ID-534 A-55 S-4 was put in queue number 3
Chosen queue 4
Client ID-563 A-55 S-11 was put in queue number 4
Chosen queue 5
Client ID-600 A-55 S-11 was put in queue number 5
Chosen queue 6
Client ID-658 A-55 S-4 was put in queue number 6
Chosen queue 7
Client ID-662 A-55 S-10 was put in queue number 7
Chosen queue 8
Client ID-713 A-55 S-8 was put in queue number 8
Task taken: ID-708 A-22 S-8
Task sleeping: ID-391 A-26 S-4
Task taken: ID-572 A-22 S-9
Task sleeping: ID-178 A-25 S-9
Task taken: ID-469 A-26 S-8
Task sleeping: ID-493 A-28 S-7

Time: 89
Chosen queue 2
Client ID-29 A-56 S-10 was put in queue number 2
Chosen queue 6
Client ID-155 A-56 S-3 was put in queue number 6
Chosen queue 7
Task taken: ID-15 A-24 S-10
Task sleeping: ID-784 A-24 S-4
Client ID-187 A-56 S-9 was put in queue number 7
Chosen queue 0
Client ID-354 A-56 S-4 was put in queue number 0
Chosen queue 9
Client ID-421 A-56 S-11 was put in queue number 9
Chosen queue 10
Client ID-427 A-56 S-7 was put in queue number 10
Chosen queue 11
Client ID-472 A-56 S-9 was put in queue number 11
Chosen queue 12
Client ID-474 A-56 S-5 was put in queue number 12
Chosen queue 13
Client ID-547 A-56 S-10 was put in queue number 13
Chosen queue 14
Client ID-731 A-56 S-7 was put in queue number 14
Chosen queue 15
Client ID-810 A-56 S-5 was put in queue number 15
Chosen queue 16
Client ID-941 A-56 S-9 was put in queue number 16
Chosen queue 17
Client ID-954 A-56 S-4 was put in queue number 17
Task taken: ID-974 A-21 S-11
Task sleeping: ID-470 A-24 S-8
Task taken: ID-142 A-27 S-3
Task sleeping: ID-81 A-29 S-8
Task taken: ID-687 A-26 S-6
Task sleeping: ID-874 A-28 S-10

Time: 90
Chosen queue 1
Client ID-27 A-57 S-11 was put in queue number 1
Chosen queue 11
Client ID-161 A-57 S-6 was put in queue number 11
Chosen queue 15
Client ID-191 A-57 S-4 was put in queue number 15
Chosen queue 18
Client ID-271 A-57 S-4 was put in queue number 18
Chosen queue 19
Client ID-334 A-57 S-4 was put in queue number 19
Chosen queue 0
Client ID-538 A-57 S-7 was put in queue number 0
Chosen queue 1
Client ID-552 A-57 S-3 was put in queue number 1
Chosen queue 2
Client ID-843 A-57 S-3 was put in queue number 2
Chosen queue 3
Client ID-975 A-57 S-7 was put in queue number 3
Task taken: ID-596 A-22 S-11
Task sleeping: ID-290 A-25 S-9
Task taken: ID-59 A-27 S-5
Task sleeping: ID-657 A-28 S-10
Task taken: ID-703 A-26 S-7
Task taken: ID-778 A-24 S-6
Task sleeping: ID-192 A-27 S-4
Task sleeping: ID-830 A-29 S-3

Time: 91
Chosen queue 8
Client ID-77 A-58 S-7 was put in queue number 8
Chosen queue 14
Client ID-93 A-58 S-10 was put in queue number 14
Chosen queue 16
Client ID-95 A-58 S-4 was put in queue number 16
Chosen queue 3
Client ID-362 A-58 S-9 was put in queue number 3
Chosen queue 4
Client ID-541 A-58 S-3 was put in queue number 4
Chosen queue 5
Client ID-751 A-58 S-10 was put in queue number 5
Task taken: ID-648 A-26 S-4
Task sleeping: ID-137 A-27 S-4
Task taken: ID-526 A-24 S-10
Task sleeping: ID-512 A-26 S-3

Time: 93
Chosen queue 9
Client ID-102 A-59 S-10 was put in queue number 9
Chosen queue 10
Task taken: ID-391 A-26 S-4
Task sleeping: ID-467 A-28 S-5
Client ID-170 A-59 S-3 was put in queue number 10
Chosen queue 6
Client ID-297 A-59 S-11 was put in queue number 6
Chosen queue 6
Client ID-396 A-59 S-11 was put in queue number 6
Chosen queue 7
Client ID-483 A-59 S-9 was put in queue number 7
Chosen queue 8
Client ID-813 A-59 S-9 was put in queue number 8
Chosen queue 9
Client ID-891 A-59 S-11 was put in queue number 9
Chosen queue 10
Client ID-904 A-59 S-3 was put in queue number 10
Chosen queue 11
Client ID-929 A-59 S-8 was put in queue number 11
Chosen queue 12
Client ID-991 A-59 S-7 was put in queue number 12
Task taken: ID-784 A-24 S-4
Task taken: ID-55 A-27 S-11
Task sleeping: ID-325 A-27 S-11
Task sleeping: ID-444 A-27 S-4
Task taken: ID-497 A-25 S-7
Task sleeping: ID-414 A-27 S-8

Time: 94
Chosen queue 18
Client ID-163 A-60 S-3 was put in queue number 18
Chosen queue 19
Client ID-240 A-60 S-10 was put in queue number 19
Chosen queue 0
Client ID-582 A-60 S-8 was put in queue number 0
Chosen queue 13
Client ID-585 A-60 S-9 was put in queue number 13
Chosen queue 14
Client ID-680 A-60 S-7 was put in queue number 14
Chosen queue 15
Client ID-685 A-60 S-3 was put in queue number 15
Chosen queue 16
Client ID-709 A-60 S-9 was put in queue number 16
Chosen queue 17
Client ID-717 A-60 S-11 was put in queue number 17
Chosen queue 18
Client ID-724 A-60 S-7 was put in queue number 18
Chosen queue 19
Client ID-757 A-60 S-8 was put in queue number 19
Chosen queue 0
Client ID-789 A-60 S-6 was put in queue number 0
Chosen queue 1
Client ID-802 A-60 S-4 was put in queue number 1
Chosen queue 2
Client ID-909 A-60 S-6 was put in queue number 2
Task taken: ID-707 A-22 S-11
Task sleeping: ID-927 A-25 S-7
Task taken: ID-699 A-26 S-11
Task sleeping: ID-173 A-28 S-11
Task taken: ID-830 A-29 S-3
Task sleeping: ID-385 A-32 S-4
Task taken: ID-688 A-26 S-11
Task sleeping: ID-76 A-29 S-9

Time: 95
Chosen queue 5
Client ID-144 A-61 S-8 was put in queue number 5
Chosen queue 12
Client ID-160 A-61 S-10 was put in queue number 12
Chosen queue 13
Client ID-249 A-61 S-3 was put in queue number 13
Chosen queue 14
Client ID-295 A-61 S-3 was put in queue number 14
Chosen queue 3
Client ID-333 A-61 S-8 was put in queue number 3
Chosen queue 4
Client ID-443 A-61 S-9 was put in queue number 4
Chosen queue 5
Client ID-571 A-61 S-11 was put in queue number 5
Chosen queue 6
Client ID-634 A-61 S-6 was put in queue number 6
Chosen queue 7
Client ID-675 A-61 S-8 was put in queue number 7
Chosen queue 8
Client ID-817 A-61 S-5 was put in queue number 8
Chosen queue 9
Client ID-892 A-61 S-9 was put in queue number 9
Chosen queue 10
Client ID-926 A-61 S-9 was put in queue number 10
Task taken: ID-192 A-27 S-4
Task taken: ID-512 A-26 S-3
Task sleeping: ID-281 A-30 S-3
Task sleeping: ID-768 A-28 S-5
Task taken: ID-419 A-25 S-11
Task sleeping: ID-809 A-25 S-9
Task taken: ID-493 A-28 S-7
Task sleeping: ID-615 A-29 S-10
Task taken: ID-137 A-27 S-4
Task sleeping: ID-806 A-28 S-5

Time: 96
Chosen queue 16
Client ID-216 A-62 S-3 was put in queue number 16
Chosen queue 4
Client ID-369 A-62 S-3 was put in queue number 4
Chosen queue 7
Client ID-401 A-62 S-7 was put in queue number 7
Chosen queue 9
Client ID-424 A-62 S-3 was put in queue number 9
Chosen queue 10
Client ID-433 A-62 S-8 was put in queue number 10
Chosen queue 11
Client ID-439 A-62 S-7 was put in queue number 11
Chosen queue 12
Client ID-610 A-62 S-10 was put in queue number 12
Chosen queue 13
Client ID-669 A-62 S-7 was put in queue number 13
Chosen queue 14
Client ID-835 A-62 S-10 was put in queue number 14
Chosen queue 15
Client ID-851 A-62 S-8 was put in queue number 15
Chosen queue 16
Client ID-960 A-62 S-6 was put in queue number 16
Task taken: ID-244 A-27 S-10
Task sleeping: ID-327 A-30 S-7

Time: 97
Chosen queue 17
Client ID-0 A-63 S-11 was put in queue number 17
Chosen queue 17
Client ID-305 A-63 S-9 was put in queue number 17
Chosen queue 18
Client ID-309 A-63 S-7 was put in queue number 18
Chosen queue 19
Client ID-410 A-63 S-3 was put in queue number 19
Chosen queue 0
Client ID-621 A-63 S-11 was put in queue number 0
Chosen queue 1
Client ID-793 A-63 S-6 was put in queue number 1
Chosen queue 2
Client ID-844 A-63 S-8 was put in queue number 2
Chosen queue 3
Client ID-915 A-63 S-10 was put in queue number 3
Chosen queue 4
Client ID-972 A-63 S-10 was put in queue number 4
Task taken: ID-444 A-27 S-4
Task sleeping: ID-213 A-29 S-11
Task taken: ID-467 A-28 S-5
Task sleeping: ID-379 A-29 S-10
Task taken: ID-178 A-25 S-9
Task sleeping: ID-564 A-25 S-6

Time: 98
Chosen queue 6
Client ID-198 A-64 S-8 was put in queue number 6
Chosen queue 0
Client ID-339 A-64 S-9 was put in queue number 0
Chosen queue 2
Client ID-400 A-64 S-11 was put in queue number 2
Chosen queue 5
Client ID-441 A-64 S-5 was put in queue number 5
Chosen queue 6
Client ID-450 A-64 S-9 was put in queue number 6
Chosen queue 7
Client ID-468 A-64 S-3 was put in queue number 7
Chosen queue 8
Client ID-584 A-64 S-7 was put in queue number 8
Chosen queue 9
Client ID-635 A-64 S-6 was put in queue number 9
Chosen queue 10
Client ID-710 A-64 S-6 was put in queue number 10
Task taken: ID-470 A-24 S-8
Task sleeping: ID-801 A-24 S-6
Chosen queue 1
Client ID-918 A-64 S-10 was put in queue number 1
Chosen queue 11
Client ID-983 A-64 S-7 was put in queue number 11
Task taken: ID-81 A-29 S-8
Task sleeping: ID-849 A-29 S-10
Task taken: ID-281 A-30 S-3
Task sleeping: ID-88 A-31 S-5
Task taken: ID-385 A-32 S-4
Task sleeping: ID-633 A-34 S-8

Time: 99
Chosen queue 14
Client ID-31 A-65 S-9 was put in queue number 14
Chosen queue 15
Client ID-58 A-65 S-4 was put in queue number 15
Chosen queue 16
Client ID-153 A-65 S-3 was put in queue number 16
Chosen queue 12
Client ID-177 A-65 S-6 was put in queue number 12
Chosen queue 13
Client ID-209 A-65 S-10 was put in queue number 13
Chosen queue 14
Client ID-284 A-65 S-3 was put in queue number 14
Chosen queue 15
Client ID-299 A-65 S-5 was put in queue number 15
Chosen queue 16
Client ID-616 A-65 S-9 was put in queue number 16
Chosen queue 17
Client ID-661 A-65 S-4 was put in queue number 17
Chosen queue 18
Client ID-706 A-65 S-6 was put in queue number 18
Chosen queue 19
Client ID-822 A-65 S-11 was put in queue number 19
Task taken: ID-290 A-25 S-9
Task sleeping: ID-711 A-25 S-10

Time: 100
Task taken: ID-768 A-28 S-5
Chosen queue 3
Task sleeping: ID-660 A-31 S-5
Client ID-53 A-66 S-10 was put in queue number 3
Chosen queue 9
Client ID-195 A-66 S-3 was put in queue number 9
Chosen queue 0
Client ID-202 A-66 S-11 was put in queue number 0
Chosen queue 1
Task taken: ID-874 A-28 S-10
Task sleeping: ID-818 A-31 S-3
Client ID-222 A-66 S-9 was put in queue number 1
Chosen queue 11
Client ID-268 A-66 S-5 was put in queue number 11
Chosen queue 2
Client ID-377 A-66 S-7 was put in queue number 2
Chosen queue 3
Client ID-397 A-66 S-9 was put in queue number 3
Chosen queue 4
Client ID-492 A-66 S-11 was put in queue number 4
Chosen queue 5
Client ID-855 A-66 S-4 was put in queue number 5
Chosen queue 6
Client ID-997 A-66 S-5 was put in queue number 6
Task taken: ID-806 A-28 S-5
Task sleeping: ID-203 A-30 S-8
Task taken: ID-927 A-25 S-7
Task sleeping: ID-352 A-28 S-5
Task taken: ID-657 A-28 S-10
Task sleeping: ID-312 A-31 S-6
Task taken: ID-414 A-27 S-8
Task sleeping: ID-140 A-30 S-8

Time: 101
Chosen queue 8
Client ID-294 A-67 S-9 was put in queue number 8
Chosen queue 10
Client ID-736 A-67 S-3 was put in queue number 10
Chosen queue 19
Client ID-820 A-67 S-11 was put in queue number 19
Chosen queue 5
Client ID-899 A-67 S-7 was put in queue number 5
Chosen queue 7
Client ID-921 A-67 S-8 was put in queue number 7
Chosen queue 8
Client ID-992 A-67 S-11 was put in queue number 8

Time: 102
Chosen queue 9
Client ID-54 A-68 S-3 was put in queue number 9
Chosen queue 10
Client ID-165 A-68 S-4 was put in queue number 10
Chosen queue 11
Client ID-406 A-68 S-11 was put in queue number 11
Chosen queue 12
Client ID-670 A-68 S-11 was put in queue number 12
Chosen queue 13
Client ID-734 A-68 S-4 was put in queue number 13
Chosen queue 14
Client ID-747 A-68 S-7 was put in queue number 14
Chosen queue 15
Client ID-873 A-68 S-5 was put in queue number 15
Task taken: ID-88 A-31 S-5
Task sleeping: ID-506 A-32 S-10
Task taken: ID-818 A-31 S-3
Task taken: ID-327 A-30 S-7
Task sleeping: ID-106 A-32 S-10
Task sleeping: ID-542 A-32 S-6

Time: 103
Chosen queue 16
Client ID-275 A-69 S-9 was put in queue number 16
Chosen queue 17
Client ID-331 A-69 S-10 was put in queue number 17
Chosen queue 11
Client ID-389 A-69 S-9 was put in queue number 11
Chosen queue 16
Client ID-544 A-69 S-10 was put in queue number 16
Chosen queue 17
Client ID-794 A-69 S-7 was put in queue number 17
Chosen queue 18
Client ID-803 A-69 S-7 was put in queue number 18
Chosen queue 19
Client ID-805 A-69 S-4 was put in queue number 19
Chosen queue 0
Client ID-854 A-69 S-10 was put in queue number 0
Task taken: ID-76 A-29 S-9
Task sleeping: ID-505 A-29 S-6
Task taken: ID-564 A-25 S-6
Task sleeping: ID-452 A-27 S-10
Task taken: ID-801 A-24 S-6
Task sleeping: ID-447 A-27 S-6
Task taken: ID-325 A-27 S-11
Task sleeping: ID-387 A-30 S-6
Task taken: ID-809 A-25 S-9
Task sleeping: ID-199 A-28 S-7

Time: 104
Chosen queue 1
Client ID-51 A-70 S-10 was put in queue number 1
Chosen queue 2
Client ID-134 A-70 S-10 was put in queue number 2
Chosen queue 4
Client ID-550 A-70 S-5 was put in queue number 4
Chosen queue 12
Client ID-636 A-70 S-11 was put in queue number 12
Chosen queue 18
Client ID-693 A-70 S-6 was put in queue number 18
Chosen queue 1
Client ID-905 A-70 S-7 was put in queue number 1
Task taken: ID-173 A-28 S-11
Task sleeping: ID-510 A-29 S-11
Task taken: ID-660 A-31 S-5
Task sleeping: ID-127 A-33 S-10

Time: 105
Chosen queue 9
Client ID-74 A-71 S-11 was put in queue number 9
Chosen queue 13
Client ID-94 A-71 S-10 was put in queue number 13
Chosen queue 2
Client ID-250 A-71 S-3 was put in queue number 2
Chosen queue 3
Client ID-286 A-71 S-6 was put in queue number 3
Chosen queue 4
Client ID-288 A-71 S-3 was put in queue number 4
Chosen queue 5
Client ID-337 A-71 S-11 was put in queue number 5
Chosen queue 6
Client ID-619 A-71 S-3 was put in queue number 6
Chosen queue 7
Client ID-714 A-71 S-10 was put in queue number 7
Chosen queue 8
Client ID-738 A-71 S-9 was put in queue number 8
Chosen queue 9
Client ID-767 A-71 S-7 was put in queue number 9
Chosen queue 10
Client ID-799 A-71 S-5 was put in queue number 10
Chosen queue 11
Client ID-846 A-71 S-10 was put in queue number 11
Chosen queue 12
Client ID-946 A-71 S-8 was put in queue number 12
Task taken: ID-615 A-29 S-10
Task sleeping: ID-293 A-31 S-3
Task taken: ID-352 A-28 S-5
Task sleeping: ID-336 A-30 S-9
Task taken: ID-633 A-34 S-8
Task sleeping: ID-368 A-36 S-8

Time: 107
Chosen queue 14
Client ID-79 A-72 S-6 was put in queue number 14
Chosen queue 5
Client ID-90 A-72 S-4 was put in queue number 5
Chosen queue 7
Client ID-218 A-72 S-6 was put in queue number 7
Chosen queue 13
Client ID-332 A-72 S-3 was put in queue number 13
Chosen queue 14
Client ID-412 A-72 S-8 was put in queue number 14
Chosen queue 15
Client ID-415 A-72 S-5 was put in queue number 15
Chosen queue 16
Client ID-586 A-72 S-10 was put in queue number 16
Chosen queue 17
Client ID-697 A-72 S-7 was put in queue number 17
Chosen queue 18
Client ID-842 A-72 S-9 was put in queue number 18
Chosen queue 19
Client ID-937 A-72 S-5 was put in queue number 19
Chosen queue 0
Client ID-977 A-72 S-7 was put in queue number 0
Task taken: ID-312 A-31 S-6
Task sleeping: ID-56 A-33 S-4
Task taken: ID-379 A-29 S-10
Task sleeping: ID-197 A-31 S-11

Time: 108
Chosen queue 6
