Strategy: SHORTEST_TIME
Task taken: ID-654 A-21 S-9
Task sleeping: ID-437 A-22 S-4
Task taken: ID-325 A-18 S-4
Task sleeping: ID-555 A-22 S-8

Time: 49
Chosen queue 17
Client ID-0 A-45 S-7 was put in queue number 17
Chosen queue 1
Client ID-108 A-45 S-5 was put in queue number 1
Chosen queue 9
Client ID-125 A-45 S-11 was put in queue number 9
Chosen queue 12
Client ID-195 A-45 S-5 was put in queue number 12
Chosen queue 13
Client ID-256 A-45 S-3 was put in queue number 13
Chosen queue 14
Client ID-298 A-45 S-4 was put in queue number 14
Chosen queue 15
Client ID-360 A-45 S-4 was put in queue number 15
Chosen queue 16
Client ID-395 A-45 S-9 was put in queue number 16
Chosen queue 17
Client ID-485 A-45 S-8 was put in queue number 17
Chosen queue 18
Client ID-579 A-45 S-8 was put in queue number 18
Chosen queue 19
Client ID-641 A-45 S-9 was put in queue number 19
Chosen queue 0
Client ID-699 A-45 S-8 was put in queue number 0
Chosen queue 1
Client ID-709 A-45 S-9 was put in queue number 1
Chosen queue 2
Client ID-712 A-45 S-5 was put in queue number 2
Chosen queue 3
Client ID-864 A-45 S-5 was put in queue number 3
Chosen queue 4
Client ID-865 A-45 S-5 was put in queue number 4
Chosen queue 5
Client ID-884 A-45 S-8 was put in queue number 5
Chosen queue 6
Client ID-905 A-45 S-11 was put in queue number 6
Chosen queue 7
Client ID-980 A-45 S-4 was put in queue number 7
Task taken: ID-810 A-21 S-9
Task sleeping: ID-952 A-25 S-7
Task taken: ID-94 A-22 S-6
Task sleeping: ID-731 A-22 S-10

Time: 50
Chosen queue 19
Client ID-18 A-46 S-10 was put in queue number 19
Chosen queue 5
Client ID-110 A-46 S-6 was put in queue number 5
Chosen queue 8
Client ID-174 A-46 S-11 was put in queue number 8
Chosen queue 9
Client ID-196 A-46 S-6 was put in queue number 9
Chosen queue 10
Client ID-216 A-46 S-3 was put in queue number 10
Chosen queue 11
Client ID-254 A-46 S-9 was put in queue number 11
Chosen queue 12
Client ID-258 A-46 S-10 was put in queue number 12
Chosen queue 13
Client ID-313 A-46 S-11 was put in queue number 13
Chosen queue 14
Client ID-326 A-46 S-9 was put in queue number 14
Chosen queue 15
Client ID-369 A-46 S-8 was put in queue number 15
Chosen queue 16
Client ID-516 A-46 S-11 was put in queue number 16
Chosen queue 17
Client ID-540 A-46 S-4 was put in queue number 17
Chosen queue 18
Client ID-591 A-46 S-7 was put in queue number 18
Chosen queue 19
Client ID-693 A-46 S-9 was put in queue number 19
Chosen queue 0
Client ID-758 A-46 S-3 was put in queue number 0
Chosen queue 1
Client ID-787 A-46 S-6 was put in queue number 1
Chosen queue 2
Client ID-951 A-46 S-9 was put in queue number 2
Task taken: ID-760 A-22 S-8
Task sleeping: ID-352 A-23 S-3
Task taken: ID-889 A-19 S-6
Task sleeping: ID-985 A-22 S-4
Task taken: ID-557 A-23 S-8
Task sleeping: ID-155 A-27 S-8
Task taken: ID-362 A-24 S-4
Task sleeping: ID-828 A-24 S-4

Time: 51
Chosen queue 6
Client ID-241 A-47 S-4 was put in queue number 6
Chosen queue 8
Client ID-300 A-47 S-10 was put in queue number 8
Chosen queue 10
Client ID-423 A-47 S-8 was put in queue number 10
Chosen queue 12
Client ID-538 A-47 S-6 was put in queue number 12
Chosen queue 3
Client ID-598 A-47 S-3 was put in queue number 3
Chosen queue 4
Client ID-629 A-47 S-6 was put in queue number 4
Chosen queue 5
Client ID-651 A-47 S-11 was put in queue number 5
Chosen queue 6
Client ID-863 A-47 S-6 was put in queue number 6
Chosen queue 7
Client ID-912 A-47 S-11 was put in queue number 7
Chosen queue 8
Client ID-966 A-47 S-9 was put in queue number 8
Task taken: ID-850 A-24 S-8
Task taken: ID-343 A-23 S-11
Task sleeping: ID-603 A-27 S-4
Task sleeping: ID-266 A-25 S-5
Task taken: ID-437 A-22 S-4
Task sleeping: ID-652 A-25 S-3

Time: 52
Chosen queue 13
Client ID-146 A-48 S-10 was put in queue number 13
Chosen queue 15
Client ID-230 A-48 S-4 was put in queue number 15
Chosen queue 17
Client ID-380 A-48 S-11 was put in queue number 17
Chosen queue 9
Client ID-448 A-48 S-10 was put in queue number 9
Chosen queue 10
Client ID-465 A-48 S-5 was put in queue number 10
Chosen queue 11
Client ID-484 A-48 S-11 was put in queue number 11
Chosen queue 12
Client ID-510 A-48 S-6 was put in queue number 12
Chosen queue 13
Client ID-563 A-48 S-7 was put in queue number 13
Chosen queue 14
Client ID-702 A-48 S-3 was put in queue number 14
Chosen queue 15
Client ID-706 A-48 S-7 was put in queue number 15
Chosen queue 16
Client ID-733 A-48 S-4 was put in queue number 16
Chosen queue 17
Client ID-821 A-48 S-3 was put in queue number 17
Task taken: ID-416 A-18 S-10
Task sleeping: ID-602 A-22 S-8
Chosen queue 3
Client ID-986 A-48 S-6 was put in queue number 3
Task taken: ID-181 A-25 S-5
Task sleeping: ID-346 A-27 S-7

Time: 53
Chosen queue 9
Client ID-71 A-49 S-3 was put in queue number 9
Chosen queue 18
Client ID-350 A-49 S-9 was put in queue number 18
Chosen queue 19
Client ID-463 A-49 S-10 was put in queue number 19
Chosen queue 0
Client ID-531 A-49 S-7 was put in queue number 0
Chosen queue 1
Client ID-611 A-49 S-10 was put in queue number 1
Chosen queue 2
Client ID-657 A-49 S-8 was put in queue number 2
Task taken: ID-642 A-22 S-7
Task sleeping: ID-92 A-26 S-7
Chosen queue 4
Client ID-751 A-49 S-5 was put in queue number 4
Chosen queue 3
Client ID-942 A-49 S-8 was put in queue number 3
Task taken: ID-352 A-23 S-3
Task sleeping: ID-135 A-26 S-5
Task taken: ID-971 A-21 S-11
Task sleeping: ID-417 A-26 S-5
Task taken: ID-886 A-24 S-7
Task taken: ID-522 A-21 S-9
Task sleeping: ID-294 A-25 S-9
Task sleeping: ID-348 A-26 S-3
Task taken: ID-565 A-22 S-7
Task sleeping: ID-567 A-26 S-11

Time: 55
Chosen queue 6
Client ID-2 A-50 S-11 was put in queue number 6
Chosen queue 14
Client ID-91 A-50 S-8 was put in queue number 14
Chosen queue 16
Client ID-137 A-50 S-10 was put in queue number 16
Chosen queue 0
Client ID-187 A-50 S-8 was put in queue number 0
Chosen queue 2
Client ID-203 A-50 S-3 was put in queue number 2
Chosen queue 4
Client ID-212 A-50 S-10 was put in queue number 4
Chosen queue 5
Client ID-291 A-50 S-11 was put in queue number 5
Chosen queue 6
Client ID-341 A-50 S-8 was put in queue number 6
Chosen queue 7
Client ID-627 A-50 S-5 was put in queue number 7
Chosen queue 8
Client ID-649 A-50 S-5 was put in queue number 8
Chosen queue 9
Client ID-774 A-50 S-5 was put in queue number 9
Chosen queue 10
Client ID-833 A-50 S-3 was put in queue number 10
Chosen queue 11
Client ID-970 A-50 S-4 was put in queue number 11
Task taken: ID-985 A-22 S-4
Task sleeping: ID-278 A-27 S-11
Task taken: ID-828 A-24 S-4
Task sleeping: ID-524 A-27 S-6
Task taken: ID-652 A-25 S-3
Task sleeping: ID-72 A-28 S-6

Time: 56
Chosen queue 12
Client ID-227 A-51 S-10 was put in queue number 12
Chosen queue 17
Client ID-267 A-51 S-8 was put in queue number 17
Chosen queue 8
Client ID-393 A-51 S-7 was put in queue number 8
Chosen queue 12
Client ID-521 A-51 S-3 was put in queue number 12
Chosen queue 13
Client ID-588 A-51 S-3 was put in queue number 13
Chosen queue 14
Client ID-624 A-51 S-5 was put in queue number 14
Chosen queue 15
Client ID-633 A-51 S-11 was put in queue number 15
Chosen queue 16
Client ID-878 A-51 S-10 was put in queue number 16
Chosen queue 17
Client ID-913 A-51 S-11 was put in queue number 17
Chosen queue 18
Client ID-958 A-51 S-6 was put in queue number 18
Task taken: ID-696 A-24 S-10
Task sleeping: ID-293 A-26 S-3
Task taken: ID-603 A-27 S-4
Task sleeping: ID-487 A-30 S-5
Task taken: ID-952 A-25 S-7
Task sleeping: ID-363 A-26 S-6
Task taken: ID-555 A-22 S-8
Task sleeping: ID-68 A-26 S-3

Time: 57
Chosen queue 19
Client ID-49 A-52 S-3 was put in queue number 19
Chosen queue 1
Client ID-51 A-52 S-3 was put in queue number 1
Chosen queue 11
Client ID-280 A-52 S-6 was put in queue number 11
Chosen queue 13
Client ID-323 A-52 S-9 was put in queue number 13
Chosen queue 19
Client ID-358 A-52 S-10 was put in queue number 19
Chosen queue 0
Client ID-660 A-52 S-4 was put in queue number 0
Chosen queue 1
Client ID-683 A-52 S-10 was put in queue number 1
Chosen queue 2
Client ID-752 A-52 S-5 was put in queue number 2
Chosen queue 3
Client ID-874 A-52 S-10 was put in queue number 3
Chosen queue 4
Client ID-902 A-52 S-10 was put in queue number 4
Chosen queue 5
Client ID-960 A-52 S-6 was put in queue number 5
Task taken: ID-266 A-25 S-5
Task sleeping: ID-169 A-28 S-6
Task taken: ID-348 A-26 S-3
Task sleeping: ID-932 A-27 S-9
Task taken: ID-757 A-25 S-10
Task sleeping: ID-356 A-28 S-10
Task taken: ID-817 A-18 S-11
Task sleeping: ID-925 A-22 S-6

Time: 58
Chosen queue 7
Client ID-44 A-53 S-4 was put in queue number 7
Chosen queue 14
Client ID-193 A-53 S-4 was put in queue number 14
Chosen queue 15
Client ID-209 A-53 S-10 was put in queue number 15
Chosen queue 18
Client ID-225 A-53 S-8 was put in queue number 18
Chosen queue 6
Client ID-612 A-53 S-6 was put in queue number 6
Chosen queue 7
Client ID-614 A-53 S-11 was put in queue number 7
Chosen queue 8
Client ID-620 A-53 S-4 was put in queue number 8
Chosen queue 9
Client ID-671 A-53 S-10 was put in queue number 9
Chosen queue 10
Client ID-675 A-53 S-4 was put in queue number 10
Chosen queue 11
Client ID-703 A-53 S-6 was put in queue number 11
Chosen queue 12
Client ID-720 A-53 S-10 was put in queue number 12
Chosen queue 13
Client ID-761 A-53 S-7 was put in queue number 13
Chosen queue 14
Client ID-811 A-53 S-10 was put in queue number 14
Chosen queue 15
Client ID-922 A-53 S-8 was put in queue number 15
Task taken: ID-135 A-26 S-5
Task sleeping: ID-176 A-27 S-6

Time: 59
Chosen queue 6
Client ID-199 A-54 S-9 was put in queue number 6
Chosen queue 16
Client ID-217 A-54 S-3 was put in queue number 16
Chosen queue 17
Client ID-399 A-54 S-6 was put in queue number 17
Chosen queue 18
Client ID-419 A-54 S-11 was put in queue number 18
Chosen queue 19
Client ID-508 A-54 S-7 was put in queue number 19
Chosen queue 0
Client ID-645 A-54 S-10 was put in queue number 0
Chosen queue 1
Client ID-718 A-54 S-6 was put in queue number 1
Chosen queue 2
Client ID-819 A-54 S-9 was put in queue number 2
Chosen queue 3
Client ID-847 A-54 S-9 was put in queue number 3
Chosen queue 4
Client ID-851 A-54 S-10 was put in queue number 4
Chosen queue 5
Client ID-880 A-54 S-7 was put in queue number 5
Chosen queue 6
Client ID-920 A-54 S-10 was put in queue number 6
Chosen queue 7
Client ID-944 A-54 S-8 was put in queue number 7
Chosen queue 8
Client ID-962 A-54 S-7 was put in queue number 8
Task taken: ID-417 A-26 S-5
Task sleeping: ID-507 A-28 S-11
Task taken: ID-293 A-26 S-3
Task taken: ID-155 A-27 S-8
Task sleeping: ID-382 A-27 S-8
Task sleeping: ID-365 A-27 S-9
Task taken: ID-68 A-26 S-3
Task sleeping: ID-422 A-26 S-4
Task taken: ID-731 A-22 S-10
Task sleeping: ID-945 A-26 S-5

Time: 60
Chosen queue 10
Client ID-101 A-55 S-11 was put in queue number 10
Chosen queue 11
Client ID-120 A-55 S-4 was put in queue number 11
Chosen queue 0
Client ID-152 A-55 S-3 was put in queue number 0
Chosen queue 1
Client ID-164 A-55 S-7 was put in queue number 1
Chosen queue 5
Client ID-208 A-55 S-5 was put in queue number 5
Chosen queue 9
Client ID-285 A-55 S-7 was put in queue number 9
Chosen queue 10
Client ID-289 A-55 S-3 was put in queue number 10
Chosen queue 11
Client ID-290 A-55 S-11 was put in queue number 11
Chosen queue 12
Client ID-509 A-55 S-8 was put in queue number 12
Chosen queue 13
Client ID-518 A-55 S-8 was put in queue number 13
Chosen queue 14
Client ID-655 A-55 S-7 was put in queue number 14
Chosen queue 15
Client ID-785 A-55 S-10 was put in queue number 15
Task taken: ID-346 A-27 S-7
Task sleeping: ID-25 A-31 S-3
Task taken: ID-602 A-22 S-8
Task sleeping: ID-691 A-25 S-10
Task taken: ID-92 A-26 S-7
Task sleeping: ID-836 A-26 S-8

Time: 61
Chosen queue 3
Client ID-1 A-56 S-10 was put in queue number 3
Chosen queue 4
Client ID-21 A-56 S-5 was put in queue number 4
Chosen queue 9
Client ID-103 A-56 S-8 was put in queue number 9
Chosen queue 16
Client ID-106 A-56 S-9 was put in queue number 16
Chosen queue 17
Client ID-129 A-56 S-5 was put in queue number 17
Chosen queue 18
Client ID-296 A-56 S-9 was put in queue number 18
Chosen queue 19
Client ID-534 A-56 S-7 was put in queue number 19
Chosen queue 0
Client ID-552 A-56 S-10 was put in queue number 0
Chosen queue 1
Client ID-564 A-56 S-4 was put in queue number 1
Chosen queue 2
Client ID-722 A-56 S-9 was put in queue number 2
Chosen queue 3
Client ID-823 A-56 S-9 was put in queue number 3
Chosen queue 4
Client ID-831 A-56 S-9 was put in queue number 4
Chosen queue 5
Client ID-855 A-56 S-3 was put in queue number 5
Chosen queue 6
Client ID-875 A-56 S-11 was put in queue number 6
Task taken: ID-524 A-27 S-6
Task sleeping: ID-452 A-29 S-6
Task taken: ID-487 A-30 S-5
Task sleeping: ID-669 A-32 S-9
Task taken: ID-72 A-28 S-6
Task sleeping: ID-250 A-28 S-6

Time: 62
Chosen queue 12
Client ID-8 A-57 S-9 was put in queue number 12
Chosen queue 13
Client ID-84 A-57 S-10 was put in queue number 13
Chosen queue 17
Client ID-89 A-57 S-9 was put in queue number 17
Chosen queue 7
Client ID-345 A-57 S-9 was put in queue number 7
Chosen queue 8
Client ID-475 A-57 S-7 was put in queue number 8
Chosen queue 9
Client ID-667 A-57 S-4 was put in queue number 9
Chosen queue 10
Client ID-973 A-57 S-7 was put in queue number 10
Task taken: ID-363 A-26 S-6
Task sleeping: ID-397 A-28 S-3
Task taken: ID-25 A-31 S-3
Task sleeping: ID-950 A-31 S-11

Time: 63
Chosen queue 19
Client ID-46 A-58 S-5 was put in queue number 19
Chosen queue 9
Client ID-76 A-58 S-10 was put in queue number 9
Chosen queue 11
Client ID-322 A-58 S-8 was put in queue number 11
Task taken: ID-169 A-28 S-6
Task sleeping: ID-580 A-29 S-7
Chosen queue 15
Client ID-737 A-58 S-4 was put in queue number 15
Chosen queue 12
Client ID-928 A-58 S-9 was put in queue number 12
Task taken: ID-294 A-25 S-9
Task sleeping: ID-211 A-28 S-5
Chosen queue 16
Client ID-929 A-58 S-5 was put in queue number 16
Chosen queue 13
Client ID-937 A-58 S-10 was put in queue number 13
Chosen queue 14
Client ID-967 A-58 S-5 was put in queue number 14
Chosen queue 15
Client ID-984 A-58 S-5 was put in queue number 15
Task taken: ID-422 A-26 S-4
Task taken: ID-925 A-22 S-6
Task sleeping: ID-443 A-23 S-4
Task sleeping: ID-640 A-28 S-10

Time: 64
Chosen queue 1
Client ID-15 A-59 S-9 was put in queue number 1
Chosen queue 7
Client ID-45 A-59 S-6 was put in queue number 7
Chosen queue 16
Client ID-131 A-59 S-8 was put in queue number 16
Chosen queue 17
Client ID-136 A-59 S-7 was put in queue number 17
Chosen queue 18
Client ID-149 A-59 S-6 was put in queue number 18
Chosen queue 19
Client ID-182 A-59 S-11 was put in queue number 19
Chosen queue 0
Client ID-307 A-59 S-11 was put in queue number 0
Chosen queue 1
Client ID-385 A-59 S-5 was put in queue number 1
Chosen queue 2
Client ID-394 A-59 S-3 was put in queue number 2
Chosen queue 3
Client ID-480 A-59 S-9 was put in queue number 3
Chosen queue 4
Client ID-497 A-59 S-3 was put in queue number 4
Chosen queue 5
Client ID-525 A-59 S-5 was put in queue number 5
Chosen queue 6
Client ID-583 A-59 S-5 was put in queue number 6
Chosen queue 7
Client ID-773 A-59 S-6 was put in queue number 7
Task taken: ID-945 A-26 S-5
Task sleeping: ID-391 A-29 S-7
Task taken: ID-176 A-27 S-6
Task sleeping: ID-881 A-31 S-8
Task taken: ID-397 A-28 S-3
Task sleeping: ID-673 A-33 S-6

Time: 65
Chosen queue 19
Client ID-7 A-60 S-8 was put in queue number 19
Chosen queue 5
Client ID-85 A-60 S-5 was put in queue number 5
Chosen queue 6
Client ID-438 A-60 S-11 was put in queue number 6
Chosen queue 8
Client ID-638 A-60 S-4 was put in queue number 8
Task taken: ID-567 A-26 S-11
Task sleeping: ID-80 A-28 S-5
Chosen queue 2
Client ID-708 A-60 S-11 was put in queue number 2
Task taken: ID-278 A-27 S-11
Task sleeping: ID-40 A-30 S-10
Task taken: ID-932 A-27 S-9
Task sleeping: ID-818 A-32 S-9

Time: 66
Chosen queue 14
Client ID-35 A-61 S-10 was put in queue number 14
Chosen queue 8
Client ID-126 A-61 S-9 was put in queue number 8
Chosen queue 9
Client ID-327 A-61 S-5 was put in queue number 9
Chosen queue 10
Client ID-332 A-61 S-6 was put in queue number 10
Chosen queue 11
Client ID-478 A-61 S-3 was put in queue number 11
Chosen queue 12
Client ID-479 A-61 S-4 was put in queue number 12
Chosen queue 13
Client ID-856 A-61 S-5 was put in queue number 13
Chosen queue 14
Client ID-978 A-61 S-7 was put in queue number 14
Chosen queue 15
Client ID-987 A-61 S-6 was put in queue number 15
Task taken: ID-382 A-27 S-8
Task sleeping: ID-436 A-30 S-11
Task taken: ID-452 A-29 S-6
Task sleeping: ID-450 A-32 S-6
Task taken: ID-250 A-28 S-6
Task sleeping: ID-998 A-32 S-11
Task taken: ID-356 A-28 S-10
Task sleeping: ID-814 A-29 S-4

Time: 67
Task taken: ID-443 A-23 S-4
Chosen queue 17
Task sleeping: ID-194 A-27 S-6
Client ID-42 A-62 S-7 was put in queue number 17
Chosen queue 18
Client ID-82 A-62 S-7 was put in queue number 18
Chosen queue 7
Client ID-257 A-62 S-8 was put in queue number 7
Chosen queue 11
Client ID-299 A-62 S-4 was put in queue number 11
Chosen queue 12
Client ID-473 A-62 S-11 was put in queue number 12
Chosen queue 16
Client ID-523 A-62 S-10 was put in queue number 16
Chosen queue 17
Client ID-692 A-62 S-9 was put in queue number 17
Chosen queue 18
Client ID-756 A-62 S-11 was put in queue number 18
Chosen queue 19
Client ID-802 A-62 S-4 was put in queue number 19
Chosen queue 0
Client ID-820 A-62 S-3 was put in queue number 0
Chosen queue 1
Client ID-882 A-62 S-10 was put in queue number 1
Chosen queue 2
Client ID-887 A-62 S-6 was put in queue number 2
Task taken: ID-365 A-27 S-9
Task sleeping: ID-320 A-31 S-5
Task taken: ID-211 A-28 S-5
Task sleeping: ID-650 A-30 S-4
Task taken: ID-836 A-26 S-8
Task sleeping: ID-993 A-28 S-3

Time: 69
Chosen queue 4
Client ID-5 A-63 S-8 was put in queue number 4
Chosen queue 10
Client ID-65 A-63 S-5 was put in queue number 10
Chosen queue 16
Client ID-151 A-63 S-10 was put in queue number 16
Chosen queue 3
Client ID-183 A-63 S-11 was put in queue number 3
Chosen queue 4
Client ID-314 A-63 S-4 was put in queue number 4
Chosen queue 5
Client ID-396 A-63 S-7 was put in queue number 5
Chosen queue 6
Client ID-403 A-63 S-3 was put in queue number 6
Chosen queue 7
Client ID-476 A-63 S-6 was put in queue number 7
Chosen queue 8
Client ID-628 A-63 S-11 was put in queue number 8
Chosen queue 9
Client ID-748 A-63 S-10 was put in queue number 9
Chosen queue 10
Client ID-824 A-63 S-5 was put in queue number 10
Chosen queue 11
Client ID-853 A-63 S-8 was put in queue number 11
Chosen queue 12
Client ID-894 A-63 S-10 was put in queue number 12

Time: 70
Chosen queue 13
Client ID-121 A-64 S-6 was put in queue number 13
Chosen queue 14
Client ID-253 A-64 S-5 was put in queue number 14
Chosen queue 15
Client ID-282 A-64 S-6 was put in queue number 15
Chosen queue 16
Client ID-287 A-64 S-9 was put in queue number 16
Chosen queue 17
Client ID-329 A-64 S-6 was put in queue number 17
Chosen queue 18
Client ID-554 A-64 S-10 was put in queue number 18
Chosen queue 19
Client ID-898 A-64 S-3 was put in queue number 19
Chosen queue 0
Client ID-963 A-64 S-5 was put in queue number 0
Task taken: ID-507 A-28 S-11
Task sleeping: ID-813 A-30 S-3
Task taken: ID-580 A-29 S-7
Task sleeping: ID-968 A-32 S-7
Task taken: ID-669 A-32 S-9
Task sleeping: ID-168 A-35 S-10
Task taken: ID-691 A-25 S-10
Task sleeping: ID-794 A-26 S-3
Task taken: ID-80 A-28 S-5
Task sleeping: ID-653 A-28 S-5

Time: 71
Chosen queue 2
Client ID-78 A-65 S-10 was put in queue number 2
Chosen queue 3
Client ID-244 A-65 S-11 was put in queue number 3
Chosen queue 13
Client ID-308 A-65 S-6 was put in queue number 13
Chosen queue 15
Client ID-371 A-65 S-6 was put in queue number 15
Chosen queue 0
Client ID-440 A-65 S-3 was put in queue number 0
Chosen queue 1
Client ID-462 A-65 S-8 was put in queue number 1
Chosen queue 2
Client ID-735 A-65 S-5 was put in queue number 2
Chosen queue 3
Client ID-742 A-65 S-5 was put in queue number 3
Chosen queue 4
Client ID-790 A-65 S-6 was put in queue number 4
Chosen queue 5
Client ID-832 A-65 S-9 was put in queue number 5
Task taken: ID-673 A-33 S-6
Task taken: ID-814 A-29 S-4
Task sleeping: ID-264 A-34 S-4
Task sleeping: ID-498 A-33 S-4
Task taken: ID-993 A-28 S-3
Task sleeping: ID-891 A-30 S-4
Task taken: ID-391 A-29 S-7
Task sleeping: ID-501 A-31 S-11

Time: 72
Chosen queue 18
Client ID-12 A-66 S-8 was put in queue number 18
Chosen queue 19
Client ID-60 A-66 S-4 was put in queue number 19
Chosen queue 4
Client ID-115 A-66 S-10 was put in queue number 4
Chosen queue 5
Client ID-206 A-66 S-8 was put in queue number 5
Chosen queue 6
Client ID-431 A-66 S-9 was put in queue number 6
Chosen queue 7
Client ID-469 A-66 S-3 was put in queue number 7
Chosen queue 8
Client ID-589 A-66 S-9 was put in queue number 8
Chosen queue 9
Client ID-616 A-66 S-10 was put in queue number 9
Chosen queue 10
Client ID-663 A-66 S-5 was put in queue number 10
Chosen queue 11
Client ID-668 A-66 S-7 was put in queue number 11
Chosen queue 12
Client ID-772 A-66 S-11 was put in queue number 12
Chosen queue 13
Client ID-777 A-66 S-8 was put in queue number 13
Chosen queue 14
Client ID-870 A-66 S-10 was put in queue number 14
Task taken: ID-650 A-30 S-4
Task sleeping: ID-990 A-32 S-7
Task taken: ID-881 A-31 S-8
Task sleeping: ID-550 A-35 S-8

Time: 73
Chosen queue 16
Client ID-26 A-67 S-3 was put in queue number 16
Chosen queue 6
Client ID-56 A-67 S-9 was put in queue number 6
Chosen queue 15
Client ID-275 A-67 S-11 was put in queue number 15
Chosen queue 16
Client ID-357 A-67 S-7 was put in queue number 16
Chosen queue 17
Client ID-387 A-67 S-5 was put in queue number 17
Chosen queue 18
Client ID-405 A-67 S-9 was put in queue number 18
Chosen queue 19
Client ID-467 A-67 S-7 was put in queue number 19
Chosen queue 0
Client ID-571 A-67 S-9 was put in queue number 0
Chosen queue 1
Client ID-682 A-67 S-4 was put in queue number 1
Chosen queue 2
Client ID-695 A-67 S-3 was put in queue number 2
Chosen queue 3
Client ID-716 A-67 S-4 was put in queue number 3
Chosen queue 4
Client ID-764 A-67 S-8 was put in queue number 4
Chosen queue 5
Client ID-781 A-67 S-3 was put in queue number 5
Chosen queue 6
Client ID-797 A-67 S-3 was put in queue number 6
Chosen queue 7
Client ID-961 A-67 S-3 was put in queue number 7
Task taken: ID-813 A-30 S-3
Task sleeping: ID-661 A-33 S-9
Task taken: ID-320 A-31 S-5
Task sleeping: ID-276 A-32 S-4
Task taken: ID-450 A-32 S-6
Task sleeping: ID-767 A-35 S-8
Task taken: ID-794 A-26 S-3
Task sleeping: ID-829 A-28 S-4
Task taken: ID-640 A-28 S-10
Task taken: ID-194 A-27 S-6
Task sleeping: ID-918 A-31 S-4
Task sleeping: ID-248 A-32 S-6

Time: 74
Chosen queue 10
Client ID-19 A-68 S-9 was put in queue number 10
Chosen queue 12
Client ID-87 A-68 S-10 was put in queue number 12
Chosen queue 0
Client ID-98 A-68 S-4 was put in queue number 0
Chosen queue 1
Client ID-272 A-68 S-10 was put in queue number 1
Task taken: ID-950 A-31 S-11
Task sleeping: ID-697 A-35 S-9
Chosen queue 9
Client ID-295 A-68 S-4 was put in queue number 9
Chosen queue 3
Client ID-519 A-68 S-6 was put in queue number 3
Chosen queue 7
Client ID-727 A-68 S-6 was put in queue number 7
Chosen queue 8
Client ID-744 A-68 S-9 was put in queue number 8
Chosen queue 9
Client ID-885 A-68 S-6 was put in queue number 9
Chosen queue 10
Client ID-911 A-68 S-3 was put in queue number 10

Time: 75
Chosen queue 11
Client ID-86 A-69 S-6 was put in queue number 11
Chosen queue 12
Client ID-237 A-69 S-4 was put in queue number 12
Chosen queue 13
Client ID-337 A-69 S-8 was put in queue number 13
Chosen queue 14
Client ID-379 A-69 S-11 was put in queue number 14
Chosen queue 15
Client ID-430 A-69 S-8 was put in queue number 15
Chosen queue 16
Client ID-435 A-69 S-7 was put in queue number 16
Chosen queue 17
Client ID-506 A-69 S-10 was put in queue number 17
Chosen queue 18
Client ID-511 A-69 S-9 was put in queue number 18
Chosen queue 19
Client ID-568 A-69 S-6 was put in queue number 19
Chosen queue 0
Client ID-622 A-69 S-3 was put in queue number 0
Chosen queue 1
Client ID-743 A-69 S-8 was put in queue number 1
Chosen queue 2
Client ID-792 A-69 S-9 was put in queue number 2
Chosen queue 3
Client ID-910 A-69 S-9 was put in queue number 3
Chosen queue 4
Client ID-964 A-69 S-4 was put in queue number 4
Chosen queue 5
Client ID-982 A-69 S-9 was put in queue number 5
Task taken: ID-818 A-32 S-9
Task sleeping: ID-252 A-34 S-7
Task taken: ID-264 A-34 S-4
Task taken: ID-498 A-33 S-4
Task sleeping: ID-410 A-37 S-8
Task sleeping: ID-503 A-37 S-4
Task taken: ID-653 A-28 S-5
Task sleeping: ID-955 A-33 S-4
Task taken: ID-891 A-30 S-4
Task sleeping: ID-527 A-34 S-7
Task taken: ID-40 A-30 S-10
Task sleeping: ID-926 A-31 S-9

Time: 76
Chosen queue 8
Client ID-75 A-70 S-10 was put in queue number 8
Chosen queue 14
Client ID-201 A-70 S-11 was put in queue number 14
Chosen queue 18
Client ID-223 A-70 S-10 was put in queue number 18
Chosen queue 19
Client ID-263 A-70 S-7 was put in queue number 19
Chosen queue 2
Client ID-361 A-70 S-9 was put in queue number 2
Chosen queue 4
Client ID-367 A-70 S-6 was put in queue number 4
Chosen queue 6
Client ID-375 A-70 S-10 was put in queue number 6
Chosen queue 7
Client ID-500 A-70 S-4 was put in queue number 7
Chosen queue 8
Client ID-537 A-70 S-3 was put in queue number 8
Chosen queue 9
Client ID-625 A-70 S-10 was put in queue number 9
Chosen queue 10
Client ID-782 A-70 S-4 was put in queue number 10
Chosen queue 11
Client ID-939 A-70 S-10 was put in queue number 11
Task taken: ID-276 A-32 S-4
Task sleeping: ID-714 A-35 S-4
Task taken: ID-968 A-32 S-7
Task sleeping: ID-161 A-36 S-3

Time: 77
Chosen queue 15
Client ID-30 A-71 S-8 was put in queue number 15
Chosen queue 10
Client ID-153 A-71 S-3 was put in queue number 10
Chosen queue 12
Client ID-218 A-71 S-8 was put in queue number 12
Chosen queue 13
Client ID-268 A-71 S-8 was put in queue number 13
Chosen queue 14
Client ID-316 A-71 S-6 was put in queue number 14
Chosen queue 15
Client ID-425 A-71 S-8 was put in queue number 15
Chosen queue 16
Client ID-447 A-71 S-6 was put in queue number 16
Chosen queue 17
Client ID-470 A-71 S-5 was put in queue number 17
Chosen queue 18
Client ID-488 A-71 S-3 was put in queue number 18
Chosen queue 19
